nohup: 忽略输入
Start loading the data....
  - Found cached train data
  - Found cached valid data
  - Found cached test data
Finish loading the data....
406523
Epoch  4 | Batch 150/1016 | Time/Batch(ms) 132.64 | Train Loss 0.7699 | lr  0.001
Epoch  4 | Batch 180/1016 | Time/Batch(ms) 145.65 | Train Loss 0.7909 | lr  0.001
Epoch  4 | Batch 210/1016 | Time/Batch(ms) 131.61 | Train Loss 0.7640 | lr  0.001
Epoch  4 | Batch 240/1016 | Time/Batch(ms) 131.50 | Train Loss 0.7782 | lr  0.001
Epoch  4 | Batch 270/1016 | Time/Batch(ms) 132.68 | Train Loss 0.7650 | lr  0.001
Epoch  4 | Batch 300/1016 | Time/Batch(ms) 147.19 | Train Loss 0.7288 | lr  0.001
Epoch  4 | Batch 330/1016 | Time/Batch(ms) 134.64 | Train Loss 0.7667 | lr  0.001
Epoch  4 | Batch 360/1016 | Time/Batch(ms) 125.03 | Train Loss 0.7428 | lr  0.001
Epoch  4 | Batch 390/1016 | Time/Batch(ms) 122.22 | Train Loss 0.7736 | lr  0.001
Epoch  4 | Batch 420/1016 | Time/Batch(ms) 131.18 | Train Loss 0.7748 | lr  0.001
Epoch  4 | Batch 450/1016 | Time/Batch(ms) 124.22 | Train Loss 0.7449 | lr  0.001
Epoch  4 | Batch 480/1016 | Time/Batch(ms) 120.89 | Train Loss 0.7575 | lr  0.001
Epoch  4 | Batch 510/1016 | Time/Batch(ms) 125.97 | Train Loss 0.7396 | lr  0.001
Epoch  4 | Batch 540/1016 | Time/Batch(ms) 145.49 | Train Loss 0.7781 | lr  0.001
Epoch  4 | Batch 570/1016 | Time/Batch(ms) 121.99 | Train Loss 0.7628 | lr  0.001
Epoch  4 | Batch 600/1016 | Time/Batch(ms) 126.96 | Train Loss 0.7276 | lr  0.001
Epoch  4 | Batch 630/1016 | Time/Batch(ms) 143.37 | Train Loss 0.7292 | lr  0.001
Epoch  4 | Batch 660/1016 | Time/Batch(ms) 133.49 | Train Loss 0.7180 | lr  0.001
Epoch  4 | Batch 690/1016 | Time/Batch(ms) 134.81 | Train Loss 0.7749 | lr  0.001
Epoch  4 | Batch 720/1016 | Time/Batch(ms) 143.57 | Train Loss 0.8363 | lr  0.001
Epoch  4 | Batch 750/1016 | Time/Batch(ms) 149.56 | Train Loss 0.7816 | lr  0.001
Epoch  4 | Batch 780/1016 | Time/Batch(ms) 155.66 | Train Loss 0.7817 | lr  0.001
Epoch  4 | Batch 810/1016 | Time/Batch(ms) 142.23 | Train Loss 0.7771 | lr  0.001
Epoch  4 | Batch 840/1016 | Time/Batch(ms) 132.38 | Train Loss 0.6969 | lr  0.001
Epoch  4 | Batch 870/1016 | Time/Batch(ms) 133.83 | Train Loss 0.7844 | lr  0.001
Epoch  4 | Batch 900/1016 | Time/Batch(ms) 133.38 | Train Loss 0.7943 | lr  0.001
Epoch  4 | Batch 930/1016 | Time/Batch(ms) 130.84 | Train Loss 0.7549 | lr  0.001
Epoch  4 | Batch 960/1016 | Time/Batch(ms) 141.05 | Train Loss 0.7519 | lr  0.001
Epoch  4 | Batch 990/1016 | Time/Batch(ms) 147.02 | Train Loss 0.7802 | lr  0.001
--------------------------------------------------
Epoch  4 | Time 153.9821 sec | Valid Loss 0.7113 | Test Loss 0.7586 | f1 0.6353225944316231 | acc 0.6955801104972376 | mae 0.7586491703987122 | corr 0.43820109067340945 | mult_a7 0.4268791729485247 | mult_a5 0.4344174025414603 | mult_a2 0.6644410941201809
--------------------------------------------------
Epoch  5 | Batch  30/1016 | Time/Batch(ms) 131.84 | Train Loss 0.7228 | lr  0.001
Epoch  5 | Batch  60/1016 | Time/Batch(ms) 124.91 | Train Loss 0.7221 | lr  0.001
Epoch  5 | Batch  90/1016 | Time/Batch(ms) 135.86 | Train Loss 0.7553 | lr  0.001
Epoch  5 | Batch 120/1016 | Time/Batch(ms) 145.45 | Train Loss 0.7450 | lr  0.001
Epoch  5 | Batch 150/1016 | Time/Batch(ms) 135.48 | Train Loss 0.7673 | lr  0.001
Epoch  5 | Batch 180/1016 | Time/Batch(ms) 129.73 | Train Loss 0.6910 | lr  0.001
Epoch  5 | Batch 210/1016 | Time/Batch(ms) 129.65 | Train Loss 0.7513 | lr  0.001
Epoch  5 | Batch 240/1016 | Time/Batch(ms) 134.17 | Train Loss 0.7760 | lr  0.001
Epoch  5 | Batch 270/1016 | Time/Batch(ms) 138.51 | Train Loss 0.8035 | lr  0.001
Epoch  5 | Batch 300/1016 | Time/Batch(ms) 130.06 | Train Loss 0.7623 | lr  0.001
Epoch  5 | Batch 330/1016 | Time/Batch(ms) 135.61 | Train Loss 0.7301 | lr  0.001
Epoch  5 | Batch 360/1016 | Time/Batch(ms) 132.19 | Train Loss 0.7102 | lr  0.001
Epoch  5 | Batch 390/1016 | Time/Batch(ms) 150.50 | Train Loss 0.7376 | lr  0.001
Epoch  5 | Batch 420/1016 | Time/Batch(ms) 140.47 | Train Loss 0.7969 | lr  0.001
Epoch  5 | Batch 450/1016 | Time/Batch(ms) 152.53 | Train Loss 0.7293 | lr  0.001
Epoch  5 | Batch 480/1016 | Time/Batch(ms) 132.95 | Train Loss 0.6893 | lr  0.001
Epoch  5 | Batch 510/1016 | Time/Batch(ms) 139.90 | Train Loss 0.7275 | lr  0.001
Epoch  5 | Batch 540/1016 | Time/Batch(ms) 145.14 | Train Loss 0.7496 | lr  0.001
