nohup: 忽略输入
Start loading the data....
  - Found cached train data
  - Found cached valid data
  - Found cached test data
Finish loading the data....
### Note: You are running in unaligned mode.
406523
Epoch  3 | Batch 360/1020 | Time/Batch(ms) 229.48 | Train Loss 0.7813 | lr  0.001
Epoch  3 | Batch 390/1020 | Time/Batch(ms) 234.55 | Train Loss 0.7661 | lr  0.001
Epoch  3 | Batch 420/1020 | Time/Batch(ms) 227.83 | Train Loss 0.8458 | lr  0.001
Epoch  3 | Batch 450/1020 | Time/Batch(ms) 230.31 | Train Loss 0.8466 | lr  0.001
Epoch  3 | Batch 480/1020 | Time/Batch(ms) 227.16 | Train Loss 0.8624 | lr  0.001
Epoch  3 | Batch 510/1020 | Time/Batch(ms) 229.08 | Train Loss 0.8367 | lr  0.001
Epoch  3 | Batch 540/1020 | Time/Batch(ms) 230.01 | Train Loss 0.8061 | lr  0.001
Epoch  3 | Batch 570/1020 | Time/Batch(ms) 231.28 | Train Loss 0.7609 | lr  0.001
Epoch  3 | Batch 600/1020 | Time/Batch(ms) 227.30 | Train Loss 0.7652 | lr  0.001
Epoch  3 | Batch 630/1020 | Time/Batch(ms) 231.94 | Train Loss 0.7601 | lr  0.001
Epoch  3 | Batch 660/1020 | Time/Batch(ms) 229.66 | Train Loss 0.8590 | lr  0.001
Epoch  3 | Batch 690/1020 | Time/Batch(ms) 227.27 | Train Loss 0.8177 | lr  0.001
Epoch  3 | Batch 720/1020 | Time/Batch(ms) 223.48 | Train Loss 0.8342 | lr  0.001
Epoch  3 | Batch 750/1020 | Time/Batch(ms) 230.17 | Train Loss 0.7698 | lr  0.001
Epoch  3 | Batch 780/1020 | Time/Batch(ms) 224.56 | Train Loss 0.7991 | lr  0.001
Epoch  3 | Batch 810/1020 | Time/Batch(ms) 231.40 | Train Loss 0.7549 | lr  0.001
Epoch  3 | Batch 840/1020 | Time/Batch(ms) 230.65 | Train Loss 0.8150 | lr  0.001
Epoch  3 | Batch 870/1020 | Time/Batch(ms) 228.39 | Train Loss 0.7789 | lr  0.001
Epoch  3 | Batch 900/1020 | Time/Batch(ms) 231.46 | Train Loss 0.7846 | lr  0.001
Epoch  3 | Batch 930/1020 | Time/Batch(ms) 228.29 | Train Loss 0.8245 | lr  0.001
Epoch  3 | Batch 960/1020 | Time/Batch(ms) 227.34 | Train Loss 0.7921 | lr  0.001
Epoch  3 | Batch 990/1020 | Time/Batch(ms) 231.08 | Train Loss 0.8205 | lr  0.001
Epoch  3 | Batch 1020/1020 | Time/Batch(ms) 226.85 | Train Loss 0.7976 | lr  0.001
--------------------------------------------------
Epoch  3 | Time 274.4525 sec | Valid Loss 0.7391 | Test Loss 0.7928 | f1 0.6543630766502616 | acc 0.6593285635663181 | mae 0.7928262948989868 | corr 0.2871292699803645 | mult_a7 0.4284181154754239 | mult_a5 0.4284181154754239 | mult_a2 0.664734921657008
--------------------------------------------------
Epoch  4 | Batch  30/1020 | Time/Batch(ms) 237.12 | Train Loss 0.7551 | lr  0.001
Epoch  4 | Batch  60/1020 | Time/Batch(ms) 230.47 | Train Loss 0.7777 | lr  0.001
